log(MSE-NMF-components),comp
4.318001898,45
5.559657947,45
5.487827569,45
5.572183273,45
3.656924396,45
4.103267141,45
6.361423065,45
6.828229784,45
2.732739836,45
3.23130377,45
5.139530406,45
4.505524511,45
5.39975794,45
5.255306202,45
5.356972564,45
4.353989656,45
3.786173042,45
4.832801941,45
4.750456709,45
6.902534951,45
5.382138164,45
4.878012854,45
6.708420075,45
4.369159246,45
4.890558484,45
7.319603556,45
4.268997648,45
5.684051848,45
3.012193034,45
4.780202822,45
4.031639483,45
3.137303067,45
6.404355754,45
6.247427257,45
6.629094889,45
6.042509233,45
5.174747182,45
4.923641895,45
9.029525004,45
4.331111727,45
4.710556962,45
5.35571067,45
4.938773255,45
3.892660424,45
4.647856555,45
4.753978952,45
5.388606263,45
6.544243159,45
4.081764235,45
5.089596532,45
5.030783428,45
7.364035613,45
5.515101015,45
4.346534405,45
6.027198608,45
5.398478598,45
7.618852578,45
7.71222666,45
2.774380977,45
6.201008813,45
5.388370834,45
6.491965278,45
3.715595344,45
4.636816226,45
5.643723489,45
9.046499911,45
5.40844606,45
5.570976498,45
5.791018953,45
1.869470735,45
5.57924926,45
5.86423181,45
6.941891757,45
4.938530569,45
4.860875223,45
4.501617219,45
7.233577856,45
5.827957033,45
4.743106839,45
6.812520244,45
3.209231691,45
5.231854795,45
4.297142981,45
6.090110658,45
8.664190763,45
4.873382794,45
3.929099873,45
4.753767888,45
7.153700019,45
5.655257679,45
8.137455806,45
6.151974013,45
7.590000459,45
5.167005624,45
5.630297258,45
3.148150234,45
6.385311625,45
7.26395593,45
5.6717415,45
5.464533528,45
5.51232027,45
4.78569022,45
5.391291195,45
5.882393934,45
5.831282282,45
4.979879571,45
5.619575777,45
5.705401393,45
6.72420931,45
4.81018134,45
3.81989915,45
7.168633431,45
6.036552916,45
5.334304155,45
5.776256611,45
6.159404646,45
7.117682397,45
7.958739765,45
1.773180763,45
7.720012434,45
6.146286879,45
2.931496441,45
7.125196077,45
4.021819043,45
6.463810992,45
3.429240811,45
5.903088159,45
1.763365353,45
4.141172654,45
5.579557761,45
4.816307749,45
1.732086479,45
4.75719502,45
4.770800223,45
5.211009786,45
6.678839101,45
4.792895639,45
4.916479538,45
6.620287661,45
2.317360348,45
4.151414937,45
3.637829468,45
5.073946542,45
4.203404586,45
6.797710585,45
4.792669229,45
4.880322419,45
5.084105972,45
7.252773743,45
6.990429278,45
5.353372379,45
8.209555744,45
5.482695345,45
4.565481468,45
5.67552032,45
3.177837005,45
7.376347858,45
2.202620084,45
5.041976452,45
5.402400142,45
5.138573299,45
7.363540036,45
3.829675474,45
4.234745179,45
4.418135514,45
5.586652702,45
4.939520946,45
5.060388188,45
2.210301943,45
3.971181134,45
5.942818318,45
6.661335963,45
2.477668194,45
6.047205798,45
5.199683478,45
4.58484945,45
7.442585782,45
5.639368729,45
6.083431492,45
6.078254402,45
7.139464554,45
3.317258008,45
4.269151612,45
5.312191845,45
3.294469988,45
8.410999433,45
3.441110272,45
8.481578056,45
8.14081798,45
5.23105982,45
3.798716781,45
5.019318696,45
4.524420072,45
2.261100711,45
7.633682148,45
5.809931894,45
4.655294096,45
5.50060274,45
6.094680014,45
6.452431602,45
5.117303091,45
6.348667939,45
5.682948352,45
6.190707992,45
1.927150069,45
4.379241655,45
5.622871228,45
4.09802456,45
4.722456951,45
1.644394104,45
6.908682827,45
4.429335782,45
4.749750901,45
6.691083659,45
2.512407894,45
4.807119527,45
3.015848704,45
4.649467239,45
3.166301257,45
4.303854953,45
4.658618383,45
5.30072033,45
4.290417217,45
2.268879782,45
4.602494184,45
5.726504341,45
6.172989882,45
5.613010651,45
4.256517439,45
6.137504112,45
5.026313444,45
6.156952703,45
6.191107736,45
3.706430823,45
7.037030551,45
8.330354013,45
4.475941396,45
5.553603086,45
4.186387265,45
5.883433869,45
4.7504096,45
5.846792046,45
3.478961353,45
4.650959608,45
