log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
4.090260867,40,,,
4.311248186,40,,,
4.433824791,40,,,
8.409548636,40,,,
3.284510852,40,,,
7.435371788,40,,,
8.589008439,40,,,
4.466065079,40,,,
8.135629498,40,,,
8.638569863,40,,,
5.780781662,40,,,
4.336606953,40,,,
1.362937145,40,,,
6.704705071,40,,,
7.474270187,40,,,
6.160167767,40,,,
5.47412322,40,,,
5.873544349,40,,,
3.772658155,40,,,
6.322602414,40,,,
6.461170276,40,,,
5.637543018,40,,,
6.015100172,40,,,
7.268618575,40,,,
4.096673645,40,,,
4.686543842,40,,,
4.849494331,40,,,
7.901830987,40,,,
5.885213242,40,,,
7.029474973,40,,,
4.7702177,40,,,
3.369679671,40,,,
5.4276323,40,,,
2.812204545,40,,,
5.123909573,40,,,
6.81669027,40,,,
5.351921047,40,,,
3.12469995,40,,,
6.51136508,40,,,
5.995605627,40,,,
6.311407148,40,,,
4.099299258,40,,,
3.666125745,40,,,
5.30814917,40,,,
6.601768965,40,,,
8.593553972,40,,,
8.918983187,40,,,
8.090456928,40,,,
5.674896778,40,,,
3.581951141,40,,,
6.191072087,40,,,
4.953336885,40,,,
5.680420937,40,,,
6.282492295,40,,,
7.978188913,40,,,
6.003467871,40,,,
6.296137259,40,,,
3.226693091,40,,,
3.884940821,40,,,
6.244160501,40,,,
6.015167454,40,,,
6.188649091,40,,,
6.411932214,40,,,
6.161265941,40,,,
5.635709394,40,,,
6.066981142,40,,,
2.081803862,40,,,
5.830430183,40,,,
6.184229712,40,,,
6.717936037,40,,,
8.382350204,40,,,
5.801175574,40,,,
5.200119637,40,,,
7.266534575,40,,,
5.007662231,40,,,
5.167619828,40,,,
6.230244638,40,,,
5.199193213,40,,,
3.596651943,40,,,
6.315201069,40,,,
7.183611722,40,,,
6.639327604,40,,,
9.266289207,40,,,
5.700984425,40,,,
5.321170535,40,,,
6.86989273,40,,,
4.087194478,40,,,
2.895664395,40,,,
7.280647151,40,,,
4.805758162,40,,,
7.393969332,40,,,
6.524170299,40,,,
5.349853898,40,,,
6.782491979,40,,,
4.200439138,40,,,
6.314878683,40,,,
4.930771827,40,,,
6.514188442,40,,,
7.355910694,40,,,
4.791982858,40,,,
6.743770612,40,,,
2.26429888,40,,,
4.213764035,40,,,
7.274462291,40,,,
7.694314595,40,,,
8.266042072,40,,,
7.986806022,40,,,
3.218425284,40,,,
5.938782864,40,,,
6.171269308,40,,,
6.291214084,40,,,
6.720416825,40,,,
2.165295601,40,,,
3.409116282,40,,,
3.695912995,40,,,
5.917381599,40,,,
7.201430647,40,,,
6.664576211,40,,,
4.579570481,40,,,
6.668640364,40,,,
6.554816024,40,,,
6.992353157,40,,,
4.949084709,40,,,
5.968188353,40,,,
5.64552982,40,,,
5.52365352,40,,,
5.15864156,40,,,
7.655953552,40,,,
4.832198394,40,,,
5.794311995,40,,,
3.906496287,40,,,
4.147188485,40,,,
5.986526226,40,,,
2.347391327,40,,,
9.327364424,40,,,
8.317643579,40,,,
5.708565431,40,,,
7.995197689,40,,,
4.526616263,40,,,
9.49358769,40,,,
7.373799722,40,,,
7.370221398,40,,,
6.436036239,40,,,
4.140841343,40,,,
5.898721359,40,,,
3.994192356,40,,,
4.598885218,40,,,
8.56915491,40,,,
5.646573472,40,,,
4.749676952,40,,,
4.806286159,40,,,
6.479802826,40,,,
8.709407066,40,,,
5.407016229,40,,,
6.436750465,40,,,
5.678628248,40,,,
7.542558248,40,,,
5.084112778,40,,,
6.612600613,40,,,
4.618633228,40,,,
8.044325998,40,,,
7.887645036,40,,,
3.611147181,40,,,
5.094218152,40,,,
4.916867635,40,,,
6.648338966,40,,,
4.083417515,40,,,
6.348027203,40,,,
5.910785686,40,,,
7.245663829,40,,,
5.433940733,40,,,
6.155544892,40,,,
7.886790489,40,,,
5.307942753,40,,,
6.69176729,40,,,
4.119240605,40,,,
8.788258966,40,,,
6.378520504,40,,,
3.564635764,40,,,
4.65153242,40,,,
6.584817779,40,,,
5.127968377,40,,,
7.478517187,40,,,
5.529334321,40,,,
5.380887349,40,,,
4.896291771,40,,,
7.450842085,40,,,
6.5497018,40,,,
5.368487066,40,,,
5.80054553,40,,,
6.268669322,40,,,
4.800549279,40,,,
3.20706193,40,,,
5.351542567,40,,,
6.723774265,40,,,
7.160235001,40,,,
4.274326033,40,,,
6.311560495,40,,,
3.804842665,40,,,
4.173427149,40,,,
1.76226849,40,,,
4.351427099,40,,,
5.93143898,40,,,
8.445732132,40,,,
6.25327174,40,,,
4.110633197,40,,,
6.129610639,40,,,
5.722252261,40,,,
8.025748091,40,,,
7.132066776,40,,,
4.086965977,40,,,
7.549150598,40,,,
6.382789215,40,,,
6.165333543,40,,,
4.021028755,40,,,
6.831970668,40,,,
3.720442407,40,,,
3.992395624,40,,,
4.299669783,40,,,
9.349175464,40,,,
