log(MSE-ICA-components),comp
6.775707352,40
7.914001347,40
5.70683136,40
3.583967277,40
7.283668964,40
7.401309866,40
7.928618461,40
6.150720667,40
4.077543392,40
7.573508366,40
5.126596558,40
2.625684444,40
3.195328659,40
5.022166052,40
5.481867201,40
8.131999113,40
8.014469712,40
6.02921622,40
4.624351498,40
6.53930526,40
8.053195383,40
6.561860965,40
6.15470449,40
6.512144087,40
4.94658808,40
4.429667552,40
7.274353832,40
6.862988157,40
7.597941805,40
5.070785884,40
7.682481054,40
4.949501452,40
4.383834692,40
3.041938186,40
3.706491918,40
1.292595355,40
6.014807447,40
4.877179001,40
7.407113548,40
5.116966286,40
6.282302997,40
6.401454417,40
6.2456194,40
3.852047301,40
7.174243063,40
4.432078486,40
7.631109402,40
6.965366634,40
6.021135154,40
7.087212796,40
4.747177557,40
4.960626019,40
6.754026962,40
2.221677983,40
5.26235523,40
7.144398822,40
8.59146836,40
6.73771445,40
6.955527876,40
4.073715452,40
3.979856758,40
6.09553591,40
4.463569564,40
5.252401242,40
2.682201194,40
4.169799595,40
4.10743975,40
6.176511675,45
4.191003772,45
4.564653956,45
5.036239743,45
6.428166972,45
5.245433967,45
4.428942572,45
6.900595969,45
7.011368297,45
7.741933731,45
7.047365936,45
5.939682611,45
7.153151361,45
6.525429618,45
4.265075215,45
6.72040444,45
3.986405097,45
3.635217441,45
5.939148391,45
2.959190099,45
5.648567111,45
7.35002632,45
4.390005582,45
6.649395129,45
6.458556522,45
4.493827491,45
3.338136718,45
6.344019845,45
5.158701215,45
5.971001278,45
5.012269395,45
6.437030809,45
5.468056407,45
4.075757047,45
6.374737149,45
6.200594285,45
6.81188469,45
5.628637995,45
7.593237001,45
8.612478308,45
5.190735503,45
9.094198921,45
5.38903292,45
5.940583677,45
5.881474624,45
4.696567859,45
5.888836577,45
2.904287143,45
3.757199645,45
4.950807988,45
5.7939428,45
4.746626011,45
6.503112144,45
7.556451787,45
5.483820844,45
5.137739266,45
4.994446198,45
7.594697066,45
4.601714209,45
5.691056373,45
4.06702154,45
6.845634422,45
8.907667854,45
6.465772962,45
6.162943224,45
8.452944947,45
5.653771969,45
2.834337375,45
5.307528128,45
4.697415176,45
6.391178029,45
4.86304016,45
3.333667738,45
8.018753737,45
6.613093337,45
8.139230034,45
5.334384078,45
7.98643863,45
7.629607338,45
4.342166236,45
3.456298293,45
4.320218148,45
4.731096112,45
6.134628514,45
4.111384778,45
4.113601714,45
5.739594283,45
6.780716904,45
5.702854564,45
3.521638917,45
7.150007546,45
5.314543198,45
6.915649332,45
5.101052281,45
7.076349083,45
7.503781946,45
6.435661601,45
6.542703938,45
6.938597425,45
6.934418516,45
8.840590993,45
7.468045513,45
4.962982803,45
6.726380216,45
5.759126491,45
2.455246715,45
6.00893821,45
7.037540932,45
4.651160151,45
6.404673767,45
8.311305038,45
5.958595955,45
6.879847654,45
7.049668465,45
4.176561044,45
6.284551157,45
7.019991874,45
4.93538268,45
4.620832263,45
8.808067285,45
4.447902624,45
6.302811537,45
6.492322668,45
5.50257284,45
6.182057226,45
5.12452304,45
7.231684758,45
6.085516091,45
5.045228555,45
5.864076659,45
4.229839771,45
5.83123997,45
5.099063344,45
6.005679705,45
5.851841202,45
4.800957846,45
5.995518627,45
5.719088274,45
4.561778077,45
6.393827263,45
5.412826617,45
7.037057582,45
4.801783631,45
4.028698114,45
6.649883209,45
5.422425032,45
5.722023298,45
8.400142387,45
4.88799421,45
3.542576774,45
5.336734176,45
5.64931009,45
6.662491504,45
2.180637092,45
5.776344693,45
5.981904607,45
7.247452486,45
5.816786358,45
5.610324806,45
4.735585634,45
8.780960156,45
6.628024402,45
5.028364567,45
7.683028597,45
7.476581649,45
6.050064343,45
7.109982081,45
6.974321472,45
5.656977064,45
3.749076379,45
6.73483178,45
2.280581162,45
5.457337935,45
6.227878903,45
5.678853651,45
5.619685437,45
5.002943024,45
3.098262861,45
4.22825481,45
6.453087769,45
5.749916653,45
5.859860312,45
5.106546027,45
5.010716671,45
5.397016047,45
6.349192742,45
9.092424686,45
4.811943535,45
5.320403958,45
4.735275937,45
6.544442206,45
8.200557499,45
6.524660179,45
4.87661457,45
3.840413974,45
4.424710664,45
5.680958674,45
8.131220797,45
5.792764273,45
6.850432184,45
5.863141301,45
5.674105407,45
7.425378629,45
5.950012532,45
3.51936961,45
3.091183934,45
6.835344955,45
8.179856241,45
5.27575689,45
7.089587176,45
7.591292474,45
5.176286621,45
4.643243191,45
5.388408554,45
5.795834641,45
5.356732158,45
5.448959724,45
4.694762255,45
4.574772798,45
6.438736614,45
4.018495848,45
5.748548926,45
4.885753029,45
8.30114412,45
7.938102684,45
8.109315662,45
5.397118276,45
4.873767566,45
7.192852061,45
3.704377631,45
3.987632731,45
3.455787441,45
4.297872956,45
6.147850646,45
4.790048768,45
5.011976354,45
5.824694607,45
5.473287302,45
4.165639165,45
7.026154078,45
4.486380155,45
3.347045273,45
6.787113015,45
4.901980014,45
2.490503649,45
7.501468679,45
5.563888634,45
8.064994465,45
5.260118665,45
5.618390048,45
5.626000558,45
3.344151338,45
8.445059336,45
3.191270497,45
