log(MSE-Trunc-SVD-components),comp
7.6101551,45
4.643141099,45
5.463023927,45
4.208182607,45
6.838156843,45
8.98829744,45
6.500259126,45
6.156054658,45
8.563817478,45
5.667272533,45
2.856626816,45
5.324720106,45
4.809303121,45
6.407481092,45
4.928677267,45
3.41346165,45
8.013749717,45
6.601109244,45
8.132215407,45
5.347860232,45
8.017341053,45
7.628950071,45
4.373439224,45
3.484285796,45
4.328281703,45
4.700387699,45
6.170662174,45
4.147811371,45
4.122326664,45
5.73977888,45
6.777984263,45
5.721074725,45
3.55370181,45
7.154835059,45
5.265655323,45
6.911178794,45
5.112036321,45
7.077884162,45
7.655813228,45
6.439487155,45
6.543314686,45
6.944039385,45
6.934046404,45
8.842681459,45
7.447485336,45
4.97888103,45
6.715990761,45
5.752809534,45
2.558178581,45
6.035496071,45
7.043427489,45
4.603570702,45
6.4588318,45
8.318854238,45
5.963099734,45
6.831929056,45
7.046415647,45
4.189514629,45
6.285716208,45
7.032193218,45
4.965623627,45
4.577000948,45
8.85476741,45
4.466389795,45
6.589381514,45
6.50022009,45
5.514201416,45
6.186261714,45
5.143677116,45
7.22815642,45
6.098317296,45
4.963208108,45
5.84738195,45
4.233699742,45
5.834821356,45
5.105075992,45
6.024227888,45
5.899559555,45
4.809237428,45
6.003332963,45
5.76453945,45
4.585661357,45
6.403102631,45
5.467663592,45
7.039549547,45
4.776855313,45
4.039683046,45
6.644342255,45
5.445581047,45
5.738303606,45
8.409132402,45
4.902762062,45
3.568530272,45
5.279956395,45
5.716091156,45
6.661608657,45
2.203779584,45
5.764314893,45
5.628556128,45
7.292022717,45
5.841910658,45
5.603102051,45
4.778567739,45
8.895547475,45
6.646571127,45
5.069440132,45
7.678949337,45
7.466016792,45
6.034254136,45
7.119495521,45
7.001495221,45
5.674679383,45
3.796041782,45
6.744016213,45
2.304853027,45
5.485520166,45
6.221116778,45
5.713846812,45
5.637919889,45
5.019167718,45
3.056452393,45
4.205708976,45
6.453422529,45
5.701847111,45
5.939912221,45
5.124657378,45
4.74788968,45
5.396937312,45
6.329195713,45
9.101111253,45
4.83033647,45
5.310767239,45
4.713744146,45
6.540063296,45
8.206611321,45
6.541302066,45
4.882944212,45
3.979726716,45
4.362539239,45
5.803216083,45
8.148641686,45
5.756266187,45
6.852860472,45
5.930567216,45
